Baseline Patient Characteristics
" "
Generated by TriNetX
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
I30-I5A,Other forms of heart disease,,18229,54.519%,,,,,157933,40.921%,,,,,0,0.27479368,18111,54.471%,,,,,17931,53.929%,,,,,0.1612162,0.010865958
E08-E13,Diabetes mellitus,,12608,37.708%,,,,,117633,30.479%,,,,,0,0.15293553,12517,37.646%,,,,,12498,37.589%,,,,,0.8791099,0.0011796369
E11,Type 2 diabetes mellitus,,12459,37.262%,,,,,116430,30.168%,,,,,0,0.15049702,12369,37.201%,,,,,12354,37.156%,,,,,0.904197,0.00093349605
R94,Abnormal results of function studies,,12367,36.987%,,,,,90964,23.569%,,,,,0,0.29519543,12289,36.961%,,,,,12321,37.057%,,,,,0.7971694,0.0019933316
I20-I25,Ischemic heart diseases,,12277,36.718%,,,,,104177,26.993%,,,,,0,0.2098747,12190,36.663%,,,,,12141,36.515%,,,,,0.6932206,0.003059569
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,10544,31.535%,,,,,81935,21.23%,,,,,0,0.23544464,10433,31.378%,,,,,10284,30.93%,,,,,0.21216798,0.009676432
E66.9,"Obesity, unspecified",,10188,30.47%,,,,,78659,20.381%,,,,,0,0.2332687,10103,30.386%,,,,,10051,30.229%,,,,,0.66083306,0.003402958
M80-M85,Disorders of bone density and structure,,9830,29.399%,,,,,101232,26.23%,,,,,2.0926016e-36,0.070780754,9753,29.333%,,,,,9758,29.348%,,,,,0.9660332,0.00033027172
M05-M14,Inflammatory polyarthropathies,,8946,26.756%,,,,,74234,19.234%,,,,,0,0.17945099,8889,26.735%,,,,,8690,26.136%,,,,,0.08012982,0.013572417
E78.0,Pure hypercholesterolemia,,8396,25.111%,,,,,94737,24.547%,,,,,0.021663334,0.013048442,8359,25.141%,,,,,8391,25.237%,,,,,0.7749825,0.0022170986
F17,Nicotine dependence,,7416,22.18%,,,,,59049,15.3%,,,,,0,0.17698765,7339,22.073%,,,,,7272,21.871%,,,,,0.5303352,0.0048667253
F33,"Major depressive disorder, recurrent",,7352,21.988%,,,,,82252,21.312%,,,,,0.003802245,0.01642035,7299,21.953%,,,,,7184,21.607%,,,,,0.27993754,0.008379885
I48,Atrial fibrillation and flutter,,6862,20.523%,,,,,54745,14.185%,,,,,0,0.16794637,6807,20.473%,,,,,6720,20.211%,,,,,0.401966,0.006500275
S00-S09,Injuries to the head,,6272,18.758%,,,,,62842,16.283%,,,,,1.2107952e-31,0.06515404,6206,18.665%,,,,,6173,18.566%,,,,,0.74232477,0.0025499205
Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",,5075,15.178%,,,,,38771,10.046%,,,,,0,0.15506259,5028,15.122%,,,,,5045,15.173%,,,,,0.8541064,0.0014261454
R20.0,Anesthesia of skin,,4740,14.176%,,,,,38168,9.89%,,,,,0,0.13204695,4694,14.118%,,,,,4623,13.904%,,,,,0.42764428,0.0061521437
F43,"Reaction to severe stress, and adjustment disorders",,4687,14.018%,,,,,46411,12.025%,,,,,1.1992304e-26,0.059229538,4634,13.937%,,,,,4523,13.603%,,,,,0.21160659,0.009688328
F01-F09,Mental disorders due to known physiological conditions,,4226,12.639%,,,,,53646,13.9%,,,,,1.4249421e-10,0.03717553,4181,12.575%,,,,,4182,12.578%,,,,,0.99066883,0.000090704765
H91,Other and unspecified hearing loss,,3583,10.716%,,,,,39831,10.32%,,,,,0.022754416,0.012892946,3562,10.713%,,,,,3528,10.611%,,,,,0.6692291,0.0033133242
F50-F59,Behavioral syndromes associated with physiological disturbances and physical factors,,3410,10.199%,,,,,31279,8.105%,,,,,1.4459e-40,0.07267028,3385,10.181%,,,,,3343,10.054%,,,,,0.58913255,0.004188858
I21,Acute myocardial infarction,,3335,9.974%,,,,,24002,6.219%,,,,,0,0.13798966,3316,9.973%,,,,,3384,10.178%,,,,,0.38099894,0.00679455
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",,3161,9.454%,,,,,28579,7.405%,,,,,4.686e-42,0.073796436,3142,9.45%,,,,,3093,9.303%,,,,,0.5144891,0.0050557298
F10,Alcohol related disorders,,3137,9.382%,,,,,23732,6.149%,,,,,0,0.12102197,3098,9.318%,,,,,3075,9.248%,,,,,0.75857586,0.0023837534
H90,Conductive and sensorineural hearing loss,,2966,8.871%,,,,,35076,9.088%,,,,,0.18355872,0.0076160994,2951,8.875%,,,,,2902,8.728%,,,,,0.50242615,0.0052016457
Z72.0,Tobacco use,,2789,8.341%,,,,,21940,5.685%,,,,,0,0.10416848,2754,8.283%,,,,,2679,8.057%,,,,,0.28831893,0.008235291
Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,,2358,7.052%,,,,,21589,5.594%,,,,,2.880474e-28,0.059951704,2311,6.951%,,,,,2272,6.833%,,,,,0.55048746,0.004630447
M06,Other rheumatoid arthritis,,2158,6.454%,,,,,15971,4.138%,,,,,0,0.10354843,2138,6.43%,,,,,2065,6.211%,,,,,0.24467616,0.0090230005
G45,Transient cerebral ischemic attacks and related syndromes,,1823,5.452%,,,,,19265,4.992%,,,,,0.00021847767,0.020701699,1811,5.447%,,,,,1749,5.26%,,,,,0.2854725,0.008284073
F20-F29,"Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",,1303,3.897%,,,,,14628,3.79%,,,,,0.3271279,0.005554893,1291,3.883%,,,,,1259,3.787%,,,,,0.5181462,0.0050118463
F31,Bipolar disorder,,1267,3.789%,,,,,11200,2.902%,,,,,4.95749e-20,0.049359407,1250,3.76%,,,,,1213,3.648%,,,,,0.4474099,0.005892406
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,1069,3.197%,,,,,9573,2.48%,,,,,1.300785e-15,0.043166086,1062,3.194%,,,,,1097,3.299%,,,,,0.44380215,0.0059393165
G20,Parkinson's disease,,760,2.273%,,,,,12460,3.228%,,,,,8.614482e-22,0.05844306,756,2.274%,,,,,748,2.25%,,,,,0.8347157,0.001618302
G35,Multiple sclerosis,,346,1.035%,,,,,3848,0.997%,,,,,0.5054801,0.003766641,344,1.035%,,,,,335,1.008%,,,,,0.72846717,0.0026925413
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",,238,0.712%,,,,,2609,0.676%,,,,,0.4444111,0.0043125777,238,0.716%,,,,,249,0.749%,,,,,0.61686885,0.0038801709
9083,BMI,,15352,45.915%,30.309996,7.242343,0.7,50,116943,30.301%,29.313864,6.685654,0.172,50,0,0.14292611,15169,45.622%,30.316378,7.2369585,0.7,50,15254,45.878%,29.856422,6.9065046,0.311,50,1.4314554e-8,0.06502371
9083,BMI,,15354,45.921%,,,,,116968,30.307%,,,,,0,0.32571992,15171,45.628%,,,,,15257,45.887%,,,,,0.5032332,0.0051918263
CN200,ANESTHETICS,,25795,77.147%,,,,,188995,48.97%,,,,,0,0.61039966,25608,77.019%,,,,,25688,77.259%,,,,,0.46005398,0.0057296706
CN600,ANTIDEPRESSANTS,,25450,76.116%,,,,,230807,59.804%,,,,,0,0.35503435,25263,75.981%,,,,,25282,76.038%,,,,,0.8630106,0.0013382074
CN204,"LOCAL ANESTHETICS,INJECTION",,25155,75.233%,,,,,178935,46.363%,,,,,0,0.61903596,24969,75.097%,,,,,24995,75.175%,,,,,0.8155513,0.0018091974
CN609,"ANTIDEPRESSANTS,OTHER",,24990,74.74%,,,,,226505,58.689%,,,,,0,0.3456634,24803,74.598%,,,,,24829,74.676%,,,,,0.8167442,0.0017972835
BL110,ANTICOAGULANTS,,20565,61.506%,,,,,146140,37.866%,,,,,0,0.4865972,20385,61.31%,,,,,20389,61.322%,,,,,0.97459203,0.00024701827
CN203,"GENERAL ANESTHETICS,OTHER",,18924,56.598%,,,,,110339,28.59%,,,,,0,0.59059083,18737,56.354%,,,,,18720,56.302%,,,,,0.8942589,0.0010308767
8782,propofol,,18546,55.467%,,,,,108840,28.201%,,,,,0,0.5751432,18366,55.238%,,,,,18332,55.135%,,,,,0.7909117,0.0020562685
6960,midazolam,,18356,54.899%,,,,,120229,31.152%,,,,,0,0.49404204,18175,54.663%,,,,,18230,54.829%,,,,,0.6682851,0.0033233801
CV700,DIURETICS,,17140,51.262%,,,,,150201,38.918%,,,,,0,0.2500116,16989,51.096%,,,,,16827,50.609%,,,,,0.20889136,0.009746187
BL117,PLATELET AGGREGATION INHIBITORS,,16883,50.493%,,,,,145982,37.825%,,,,,0,0.25722045,16741,50.35%,,,,,16616,49.974%,,,,,0.33230668,0.007519116
83367,atorvastatin,,13321,39.84%,,,,,124203,32.182%,,,,,0,0.16005172,13231,39.794%,,,,,13144,39.532%,,,,,0.49041244,0.0053488184
CV200,CALCIUM CHANNEL BLOCKERS,,13097,39.17%,,,,,114678,29.714%,,,,,0,0.20000316,12976,39.027%,,,,,12899,38.795%,,,,,0.5402417,0.0047500236
CV490,"ANTIHYPERTENSIVES,OTHER",,11367,33.996%,,,,,74643,19.34%,,,,,0,0.3360563,11258,33.86%,,,,,11142,33.511%,,,,,0.3412172,0.0073817186
CV800,ACE INHIBITORS,,11210,33.527%,,,,,110218,28.558%,,,,,0,0.1075446,11100,33.384%,,,,,11009,33.111%,,,,,0.4538139,0.005809664
CV805,ANGIOTENSIN II INHIBITOR,,8165,24.42%,,,,,75799,19.64%,,,,,0,0.115521215,8104,24.374%,,,,,8181,24.605%,,,,,0.4874481,0.005385429
10737,trazodone,,7306,21.851%,,,,,54378,14.09%,,,,,0,0.20318243,7217,21.706%,,,,,7230,21.745%,,,,,0.90270203,0.00094813464
36437,sertraline,,6434,19.243%,,,,,65501,16.972%,,,,,4.2091418e-26,0.059001006,6379,19.186%,,,,,6415,19.294%,,,,,0.7232185,0.002746796
72625,duloxetine,,6243,18.671%,,,,,41236,10.685%,,,,,0,0.22714433,6173,18.566%,,,,,6100,18.346%,,,,,0.4655657,0.005659518
42347,bupropion,,5953,17.804%,,,,,51912,13.451%,,,,,0,0.12010731,5907,17.766%,,,,,5944,17.877%,,,,,0.70771563,0.0029078468
321988,escitalopram,,5454,16.312%,,,,,51165,13.257%,,,,,0,0.08613757,5384,16.193%,,,,,5405,16.256%,,,,,0.82518035,0.0017131531
36567,simvastatin,,5053,15.112%,,,,,57044,14.78%,,,,,0.10106984,0.00931151,4993,15.017%,,,,,4910,14.767%,,,,,0.36594957,0.007011942
CN601,TRICYCLIC ANTIDEPRESSANTS,,4208,12.585%,,,,,33152,8.59%,,,,,0,0.13012919,4149,12.479%,,,,,4059,12.208%,,,,,0.28867245,0.008229254
2556,citalopram,,4090,12.232%,,,,,45123,11.692%,,,,,0.003209677,0.016661404,4072,12.247%,,,,,4091,12.304%,,,,,0.82234734,0.0017413829
4493,fluoxetine,,3797,11.356%,,,,,37373,9.684%,,,,,6.2191314e-23,0.054531284,3761,11.312%,,,,,3691,11.101%,,,,,0.3894919,0.0066741933
301542,rosuvastatin,,3665,10.961%,,,,,33153,8.59%,,,,,0,0.07990215,3643,10.957%,,,,,3670,11.038%,,,,,0.7378754,0.0025956165
39786,venlafaxine,,3643,10.895%,,,,,32651,8.46%,,,,,0,0.08244181,3602,10.833%,,,,,3607,10.848%,,,,,0.9502712,0.0004836993
42463,pravastatin,,3570,10.677%,,,,,34789,9.014%,,,,,4.5117196e-24,0.055842448,3539,10.644%,,,,,3506,10.545%,,,,,0.6775519,0.0032249065
15996,mirtazapine,,3560,10.647%,,,,,28813,7.466%,,,,,0,0.11103155,3511,10.56%,,,,,3411,10.259%,,,,,0.20413765,0.009848811
704,amitriptyline,,2538,7.591%,,,,,19800,5.13%,,,,,0,0.10094142,2504,7.531%,,,,,2477,7.45%,,,,,0.6908131,0.003084881
4177,etomidate,,2234,6.681%,,,,,8548,2.215%,,,,,0,0.21793653,2197,6.608%,,,,,2217,6.668%,,,,,0.75538224,0.0024163192
32937,paroxetine,,2011,6.014%,,,,,20804,5.39%,,,,,0.0000013913534,0.026913002,1992,5.991%,,,,,1960,5.895%,,,,,0.5996784,0.004070733
7531,nortriptyline,,1166,3.487%,,,,,9539,2.472%,,,,,1.3706138e-29,0.05976356,1144,3.441%,,,,,1084,3.26%,,,,,0.19601592,0.010028246
CN201,"ANESTHETICS,INHALATION",,898,2.686%,,,,,4052,1.05%,,,,,0,0.121048525,798,2.4%,,,,,831,2.499%,,,,,0.40776902,0.006420473
36453,sevoflurane,,847,2.533%,,,,,3765,0.976%,,,,,0,0.11885628,751,2.259%,,,,,776,2.334%,,,,,0.517477,0.0050198655
3638,doxepin,,755,2.258%,,,,,5385,1.395%,,,,,2.1075163e-36,0.06445966,743,2.235%,,,,,750,2.256%,,,,,0.85461676,0.0014211007
CN205,ANESTHETIC ADJUNCTS,,746,2.231%,,,,,2024,0.524%,,,,,0,0.14680675,733,2.205%,,,,,682,2.051%,,,,,0.17054719,0.010629047
6472,lovastatin,,672,2.01%,,,,,8970,2.324%,,,,,0.00023374842,0.021592336,659,1.982%,,,,,653,1.964%,,,,,0.8671293,0.0012975893
734064,desvenlafaxine,,434,1.298%,,,,,3907,1.012%,,,,,7.378855e-7,0.026736854,432,1.299%,,,,,444,1.335%,,,,,0.68317115,0.0031654467
1455099,vortioxetine,,277,0.828%,,,,,2093,0.542%,,,,,2.1451561e-11,0.03468728,275,0.827%,,,,,265,0.797%,,,,,0.6656764,0.003351197
27340,desflurane,,277,0.828%,,,,,789,0.204%,,,,,0,0.0871404,204,0.614%,,,,,198,0.596%,,,,,0.764054,0.002327989
5691,imipramine,,201,0.601%,,,,,1834,0.475%,,,,,0.0014762987,0.01721535,200,0.602%,,,,,174,0.523%,,,,,0.17758612,0.010456682
1086769,vilazodone,,199,0.595%,,,,,1738,0.45%,,,,,0.00017887643,0.020086454,199,0.599%,,,,,208,0.626%,,,,,0.6545249,0.0034706017
CN202,BARBITURIC ACID DERIVATIVE ANESTHETICS,,167,0.499%,,,,,937,0.243%,,,,,1.5344506e-18,0.042221744,162,0.487%,,,,,176,0.529%,,,,,0.44519964,0.00592112
6847,methohexital,,158,0.473%,,,,,885,0.229%,,,,,1.0685558e-17,0.04114091,153,0.46%,,,,,170,0.511%,,,,,0.34302205,0.007354169
588250,milnacipran,,124,0.371%,,,,,841,0.218%,,,,,2.1491982e-8,0.02823415,124,0.373%,,,,,127,0.382%,,,,,0.8495311,0.0014714022
3247,desipramine,,114,0.341%,,,,,964,0.25%,,,,,0.001586012,0.016801089,112,0.337%,,,,,112,0.337%,,,,,1,0
42355,fluvoxamine,,95,0.284%,,,,,940,0.244%,,,,,0.15153767,0.007907807,95,0.286%,,,,,87,0.262%,,,,,0.55263746,0.0046054944
6026,isoflurane,,104,0.311%,,,,,413,0.107%,,,,,1.988991e-24,0.044684663,91,0.274%,,,,,83,0.25%,,,,,0.54366946,0.004709895
CN602,MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS,,67,0.2%,,,,,887,0.23%,,,,,0.27829528,0.0063554756,65,0.195%,,,,,61,0.183%,,,,,0.7213266,0.0027663854
31565,nefazodone,,52,0.156%,,,,,760,0.197%,,,,,0.09853528,0.009870921,51,0.153%,,,,,41,0.123%,,,,,0.29681215,0.0080916295
1433212,levomilnacipran,,48,0.144%,,,,,411,0.106%,,,,,0.049255766,0.010489253,47,0.141%,,,,,55,0.165%,,,,,0.42793733,0.0061482424
9639,selegiline,,41,0.123%,,,,,620,0.161%,,,,,0.09269133,0.010110727,41,0.123%,,,,,41,0.123%,,,,,1,0
2597,clomipramine,,41,0.123%,,,,,445,0.115%,,,,,0.70586836,0.0021235698,40,0.12%,,,,,35,0.105%,,,,,0.5634828,0.0044803424
2119365,esketamine,,200,0.598%,,,,,34,0.009%,,,,,0,0.10729718,30,0.09%,,,,,30,0.09%,,,,,1,0
10734,tranylcypromine,,16,0.048%,,,,,116,0.03%,,,,,0.07843101,0.009018612,14,0.042%,,,,,10,0.03%,,,,,0.4141319,0.006333746
8123,phenelzine,,13,0.039%,,,,,199,0.052%,,,,,0.32233092,0.0059650424,13,0.039%,,,,,11,0.033%,,,,,0.6830373,0.0031668611
8886,protriptyline,,12,0.036%,,,,,134,0.035%,,,,,0.91245556,0.00062237884,12,0.036%,,,,,17,0.051%,,,,,0.35305536,0.007202682
10493,thiopental,,10,0.03%,,,,,62,0.016%,,,,,0.063819245,0.009131875,10,0.03%,,,,,10,0.03%,,,,,1,0
10834,trimipramine,,10,0.03%,,,,,23,0.006%,,,,,0.000002180501,0.017885415,10,0.03%,,,,,0,0%,,,,,0.0015641242,0.024529632
722,amoxapine,,10,0.03%,,,,,43,0.011%,,,,,0.0034066522,0.013100689,10,0.03%,,,,,10,0.03%,,,,,1,0
6011,isocarboxazid,,10,0.03%,,,,,15,0.004%,,,,,3.378247e-9,0.020020707,10,0.03%,,,,,10,0.03%,,,,,1,0
6646,maprotiline,,10,0.03%,,,,,59,0.015%,,,,,0.045542575,0.009727222,10,0.03%,,,,,10,0.03%,,,,,1,0
828682,fospropofol,,0,0%,,,,,0,0%,,,,,,,0,0%,,,,,0,0%,,,,,,
3920,enflurane,,0,0%,,,,,0,0%,,,,,,,0,0%,,,,,0,0%,,,,,,
11196,viloxazine,,0,0%,,,,,0,0%,,,,,,,0,0%,,,,,0,0%,,,,,,
1002796,Anesthesia,,7295,21.818%,,,,,52828,13.688%,,,,,0,0.21396974,7288,21.919%,,,,,7217,21.706%,,,,,0.5049629,0.005170809
